Year,SERIES,UNIT_MEASURE,Value
2012,Corruption Perception Index score,Score,45
2013,Corruption Perception Index score,Score,46
2014,Corruption Perception Index score,Score,48
2015,Corruption Perception Index score,Score,47
2016,Corruption Perception Index score,Score,43
2017,Corruption Perception Index score,Score,40
2018,Corruption Perception Index score,Score,41
2019,Corruption Perception Index score,Score,41
2020,Corruption Perception Index score,Score,43
2021,Corruption Perception Index score,Score,43
2012,Corruption Perception Index Rank,Rank,64
2013,Corruption Perception Index Rank,Rank,63
2014,Corruption Perception Index Rank,Rank,61
2015,Corruption Perception Index Rank,Rank,56
2016,Corruption Perception Index Rank,Rank,70
2017,Corruption Perception Index Rank,Rank,81
2018,Corruption Perception Index Rank,Rank,78
2019,Corruption Perception Index Rank,Rank,80
2020,Corruption Perception Index Rank,Rank,75
2021,Corruption Perception Index Rank,Rank,73
