Year,Value,UNIT_MEASURE,SERIES
2007,8500.0,Number,Number of Technical and Vocational Institutions
2007,31368.0,Number,Number of Public Technical and Vocational Institutions
2008,1600.0,Number,Number of Technical and Vocational Institutions
2008,31185.0,Number,Number of Public Technical and Vocational Institutions
2009,1600.0,Number,Number of Technical and Vocational Institutions
2009,38854.0,Number,Number of Public Technical and Vocational Institutions
2010,1600.0,Number,Number of Technical and Vocational Institutions
2010,42020.0,Number,Number of Public Technical and Vocational Institutions
2011,2000.0,Number,Number of Technical and Vocational Institutions
2011,50681.0,Number,Number of Public Technical and Vocational Institutions
2013,1886.0,Number,Number of Technical and Vocational Institutions
2013,44730.0,Number,Number of Public Technical and Vocational Institutions
2015,584.0,Number,Number of Technical and Vocational Institutions
2015,14029.0,Number,Number of Public Technical and Vocational Institutions
